"Function
功能"	"Class ID
类"	"Ver.
版本"	"FID2/
IDIS/Hexing"	"Attribute
&
Method
No.
属性
方法"	"Object
&
Attribute
Name
对象&属性名"	"Attribute
&
Parameter
Type
属性&方法参数类型"	"OBIS Code
&
Default Value
OBIS&默认值"	"Display OBIS code（6）
显示OBIS（6 段）"	"Display OBIS code（4）
显示OBIS（4 段）"	"Access Right
访问权限"				"Comments
注释"	"XML Comments
XML 注释"	"Coding
编码"
电网质量//判断电流	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//判断电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断电流	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for All Loss of voltage		1-0:12.159.0.255	12.159.0						全失压电压判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	 {0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Time threshold for All Loss of voltage recover		1-0:12.171.0.255	12.171.0						全失压电压恢复判断阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1.35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Time threshold for voltage cut		1-0:12.45.0.255	12.45.0						失压时间门限		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000C2D00FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned	30			\	W	RW	R		voltage	
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	废弃	Hexing	a2	Time threshold for voltage cut		1-0:12.43.0.255							失压判断延迟		
电网质量//电网质量	1	0	FID2		Number of power failures in all phases		0-0:96.7.0.255	C.7.0	C.7.0					所有相掉电次数		
电网质量//电网质量	1		FID2	a1	logical_name	octet_string[6]	"0000600700FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of long power failures in all phases		0-0:96.7.133.255							所有相长掉电次数		
电网质量//电网质量	1	废弃	Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1	废弃	Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2		Number of power failures phase L1		0-0:96.7.1.255	C.7.1	C.7.1					A相掉电次数		
电网质量//电网质量	1		FID2	a1	logical_name	octet_string[6]	"0000600701FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2		Number of power failures phase L2		0-0:96.7.2.255	C.7.2	C.7.2					B相掉电次数		
电网质量//电网质量	1		FID2	a1	logical_name	octet_string[6]	"0000600702FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2		Number of power failures phase L3		0-0:96.7.3.255	C.7.3	C.7.3					C相掉电次数		
电网质量//电网质量	1		FID2	a1	logical_name	octet_string[6]	"0000600703FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2		Number of long power failures in all phases		0-0:96.7.5.255	C.7.5	C.7.5					所有相长时间掉电次数		
电网质量//电网质量	1		FID2	a1	logical_name	octet_string[6]	"0000600705FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of short power failures in all phases		0-0:96.7.25.255	C.7.25	C.7.25					所有相短时间掉电次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]	"0000600719FF"			\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2		Number of long power failures in phase L1		0-0:96.7.6.255	C.7.6	C.7.6					A相长时间掉电次数		
电网质量//电网质量	1		FID2	a1	logical_name	octet_string[6]	"0000600706FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2		Number of long power failures in phase L2		0-0:96.7.7.255	C.7.7	C.7.7					B相长时间掉电次数		
电网质量//电网质量	1		FID2	a1	logical_name	octet_string[6]	"0000600707FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2		Number of long power failures in phase L3		0-0:96.7.8.255	C.7.8	C.7.8					C相长时间掉电次数		
电网质量//电网质量	1		FID2	a1	logical_name	octet_string[6]	"0000600708FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	FID2		Duration of Last Long Power Failure in All Phases		0-0:96.7.15.255	C.7.15	C.7.15					所有相长时间掉电持续时间		
电网质量//时间相关	3		FID2	a1	logical_name	octet_string[6]	"000060070FFF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3	0	FID2		Duration of Last Long Power Failure in Phase L1 		0-0:96.7.16.255	C.7.16	C.7.16					A相长时间掉电持续时间		
电网质量//时间相关	3		FID2	a1	logical_name	octet_string[6]	"0000600710FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3	0	FID2		Duration of Last Long Power Failure in Phase L2		0-0:96.7.17.255	C.7.17	C.7.17					B相长时间掉电持续时间		
电网质量//时间相关	3		FID2	a1	logical_name	octet_string[6]	"0000600711FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3	0	FID2		Duration of Last Long Power Failure in Phase L3		0-0:96.7.18.255	C.7.18	C.7.18					C相长时间掉电持续时间		
电网质量//时间相关	3		FID2	a1	logical_name	octet_string[6]	"0000600712FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//判断电压	3	0	Hexing		Threshold for SWELL		1-0:12.151.0.255	12.151.0						SWELL判断阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for SWELL		1-0:12.167.0.255	12.167.0						SWELL判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for ADSUP		1-0:12.135.0.255	12.135.0						ADSUP判断阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R	巴西使用		
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{0,35}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for PRSUP		1-0:12.136.0.255	12.136.0						PRSUP判断阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R	巴西使用		
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{0,35}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for ADINF		1-0:12.137.0.255	12.137.0						ADINF判断阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R	巴西使用		
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{0,35}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for PRINF		1-0:12.138.0.255	12.138.0						PRINF判断阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R	巴西使用		
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{0,35}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Nii		0-0:96.1.227.255	C.1.227						Nii		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	巴西使用		
电网质量//电网质量	1	0	Hexing		Ndr		0-0:96.1.228.255	C.1.228						Ndr		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]	d			\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	巴西使用		
电网质量//电网质量	1	0	Hexing		Number of NIMT short-term voltage variation		1-0:12.144.0.255	12.144.0						NIMT电压短期内变化净次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	巴西使用		
电网质量//电网质量	1	0	Hexing		Number of NAMT short-term voltage variation		1-0:12.145.0.255	12.145.0						NAMT电压短期内变化净次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	巴西使用		
电网质量//电网质量	1	0	Hexing		Number of NEMT short-term voltage variation		1-0:12.146.0.255	12.146.0						NEMT电压短期内变化净次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	巴西使用		
电网质量//电网质量	1	0	Hexing		Number of NITT short-term voltage variation		1-0:12.147.0.255	12.147.0						NITT电压短期内变化净次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	巴西使用		
电网质量//电网质量	1	0	Hexing		Number of NATT short-term voltage variation		1-0:12.148.0.255	12.148.0						NATT电压短期内变化净次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	巴西使用		
电网质量//电网质量	1	0	Hexing		Number of NETT short-term voltage variation		1-0:12.149.0.255	12.149.0						NETT电压短期内变化净次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	巴西使用		
电网质量//电网质量	1	0	Hexing		Number of missing voltage in any phase		1-0:12.40.0.255	12.40.0						任意相失压次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of over voltage in any phase		1-0:12.36.0.255	12.36.0						任意相过压次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		Time threshold for power failure button lock		0-0:96.7.129.255							掉电事件上报延时时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for power failure button allow active		0-0:96.7.130.255	C.7.130						掉电下每次按键允许激活延时时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of power failures in any phase		0-0:96.7.128.255	C.7.h	C.7.h					任一相电网掉电发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R	包括长掉电+短掉电的总次数		
电网质量//电网质量	3	0	Hexing		Threshold for current unbalance		1-0:11.39.0.255	11.39.0						三相电流不平衡阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R	(-1)%		
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for current unbalance		1-0:11.41.0.255	11.41.0						三相电流不平衡延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电流	3	0	Hexing		Threshold for current reversal		1-0:11.128.0.255	11.h.0	11.h.0					反向电流判断阀值		
电网质量//判断电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电流	3		Hexing	a2	value	long_unsigned				\	\	RW	R		current	
电网质量//判断电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断电流	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for current reversal		1-0:142.128.0.255	142.h.0						电流反向判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Resotre time threshold for current reversal		1-0:143.128.0.255	143.h.0						电流反向恢复判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of any phase current reversal L1		1-0:11.170.0.255	11.170.0						任意相电流反向次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of current reversal L1		1-0:31.129.0.255	31.A.0	31.A.0					A相电流反向次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of current reversal L1		1-0:31.130.0.255	31.130.0						A相电流反向持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of current reversal L2		1-0:51.129.0.255	51.A.0	51.A.0					B相电流反向次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of current reversal L2		1-0:51.130.0.255	51.130.0						B相电流反向持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of current reversal L3		1-0:71.129.0.255	71.A.0	71.A.0					C相电流反向次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of current reversal L3		1-0:71.130.0.255	71.130.0						C相电流反向持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of energy reversal L1		1-0:31.131.0.255	31.131.0						A相电能反向次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of energy reversal L1		1-0:31.132.0.255	31.132.0						A相电能反向持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of energy reversal L2		1-0:51.131.0.255	51.131.0						B相电能反向次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of energy reversal L2		1-0:51.132.0.255	51.132.0						B相电能反向持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of energy reversal L3		1-0:71.131.0.255	71.131.0						C相电能反向次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of energy reversal L3		1-0:71.132.0.255	71.132.0						C相电能反向持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电能	3	0	Hexing		Threshold for energy reversal(active power)		1-0:11.155.0.255	11.155.0						反向电能判断阀值		
电网质量//判断电能	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电能	3		Hexing	a2	value	long_unsigned				\	\	RW	R		energy	
电网质量//判断电能	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R			
电网质量//判断电能	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for energy reversal		1-0:11.150.0.255	11.150.0						反向电能判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Threshold for power Reverse		1-0:11.151.0.255	11.151.0.						潮流反向判断阀值		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	long_unsigned				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R			
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for power Reverse		1-0:11.152.0.255	11.152.0.						潮流反向判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for impedance upper limit		1-0:128.128.0.255	h.h.0	h.h.0					阻抗上限阈值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Time threshold for impedance lower limit		1-0:128.129.0.255	h.A.0	h.A.0					阻抗下限阈值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for disconnection when current reversal		1-0:11.135.0.255	11.135.0						反向时拉闸的判断阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R		current	
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for disconnection when current reversal		1-0:11.136.0.255	11.136.0						反向时拉闸的判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of overload		1-0:1.129.0.255	1.A.0	1.A.0					过载次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3	0	Hexing		Threshold for bypass		1-0:11.129.0.255	11.A.0	11.A.0					旁路判断阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R	(0)%		
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Time threshold for bypass		1-0:11.130.0.255	11.130.0						旁路判断延迟时间 		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for start bypass		1-0:11.142.0.255	11.142.0						旁路起始判断阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-2,33}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of bypass		1-0:11.156.0.255	11.156.0						旁路发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	3	0	Hexing		During of bypass		1-0:11.157.0.255	11.157.0						旁路发生持续时间		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电流	3	0	Hexing		Threshold for over current		1-0:11.35.0.255	11.35.0						过流判断阀值		
电网质量//判断电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
